playerId,gameWeek,firstName,secondName,position,teamId,minutes,eventPoints,totalPoints,goalsScored,assists,cleanSheets,goalsConceded,penaltiesSaved,penaltiesMissed,ownGoals,yellowCards,redCards,saves,bonus,bonusPointsSystem,dreamTeamCount,nowCost,costChangeEvent,costChangeStart,selectedByPercent,valueForm,valueSeason,transfersIn,transfersInEvent,transfersOut,transfersOutEvent,influence,creativity,threat,ictIndex,expectedGoals,expectedAssists,expectedGoalInvolvements,expectedGoalsConceded,expectedGoalsPer90,expectedAssistsPer90,expectedGoalInvolvementsPer90,expectedGoalsConcededPer90,goalsConcededPer90,startsPer90,cleanSheetsPer90
3,11,Gabriel,dos Santos Magalhães,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,14,0,62,0,2,25.3,0.9,9.7,0,0,0,0,21,12.0,4.0,3.8,0.0,0.23,0.23,1.28,0,0,0,0,0,0,0
3,12,Gabriel,dos Santos Magalhães,2,1,90,0,6,0,0,1,0,0,0,0,0,0,0,0,24,0,62,0,2,25.3,0.9,9.7,0,0,0,0,11,2.8,4.0,1.8,0.07,0.02,0.09,0.33,0,0,0,0,0,0,0
3,13,Gabriel,dos Santos Magalhães,2,1,45,0,9,1,1,0,2,0,0,0,0,0,0,0,20,0,62,0,2,25.3,0.9,9.7,0,0,0,0,42,0.7,35.0,7.8,0.2,0.0,0.2,0.7,0,0,0,0,0,0,0
4,1,Kai,Havertz,4,1,90,0,12,1,1,1,0,0,0,0,0,0,0,3,48,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,54,24.1,46.0,12.5,0.45,0.04,0.49,0.47,0,0,0,0,0,0,0
4,2,Kai,Havertz,4,1,90,0,2,0,0,1,0,0,0,0,0,0,0,0,-2,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,0,6.1,15.0,2.0,0.21,0.03,0.24,1.28,0,0,0,0,0,0,0
4,3,Kai,Havertz,4,1,90,0,8,1,0,0,1,0,0,0,0,0,0,2,34,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,47,24.8,30.0,10.2,0.77,0.05,0.82,1.83,0,0,0,0,0,0,0
4,4,Kai,Havertz,4,1,90,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,19,5.4,36.0,6.1,0.14,0.0,0.14,0.74,0,0,0,0,0,0,0
4,5,Kai,Havertz,4,1,90,0,2,0,0,0,2,0,0,0,0,0,0,0,8,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,15,0.0,17.0,3.2,0.06,0.0,0.06,2.16,0,0,0,0,0,0,0
4,6,Kai,Havertz,4,1,90,0,6,1,0,0,2,0,0,0,0,0,0,0,25,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,35,8.5,100.0,14.4,1.89,0.04,1.93,0.32,0,0,0,0,0,0,0
4,7,Kai,Havertz,4,1,90,0,8,1,0,0,1,0,0,0,0,0,0,2,34,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,37,14.9,82.0,13.5,0.77,0.04,0.81,0.65,0,0,0,0,0,0,0
4,8,Kai,Havertz,4,1,90,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,3,3.3,10.0,1.7,0.04,0.02,0.06,1.82,0,0,0,0,0,0,0
4,9,Kai,Havertz,4,1,90,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,4,25.3,17.0,4.7,0.17,0.47,0.64,0.85,0,0,0,0,0,0,0
4,10,Kai,Havertz,4,1,90,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,5,11.8,4.0,2.1,0.0,0.42,0.42,0.53,0,0,0,0,0,0,0
4,11,Kai,Havertz,4,1,90,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,12,13.2,2.0,2.7,0.0,0.01,0.01,1.28,0,0,0,0,0,0,0
4,12,Kai,Havertz,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,13,Kai,Havertz,4,1,90,0,6,1,0,0,2,0,0,0,0,0,0,0,28,0,79,0,-1,10.3,0.3,6.6,0,0,0,0,31,4.7,24.0,6.0,0.66,0.01,0.67,1.54,0,0,0,0,0,0,0
5,1,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,2,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,3,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,4,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,5,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,6,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,7,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,8,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,9,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,10,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,11,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,12,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,13,Karl,Hein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,1,Jurriën,Timber,2,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,0,2.7,0.5,5.6,0,0,0,0,0,0.8,8.0,0.8,0.02,0.01,0.03,0.15,0,0,0,0,0,0,0
6,2,Jurriën,Timber,2,1,78,0,6,0,0,1,0,0,0,0,0,0,0,0,24,0,55,0,0,2.7,0.5,5.6,0,0,0,0,3,4.7,2.0,1.0,0.0,0.01,0.01,1.12,0,0,0,0,0,0,0
6,3,Jurriën,Timber,2,1,79,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,55,0,0,2.7,0.5,5.6,0,0,0,0,12,10.6,4.0,2.7,0.0,0.02,0.02,1.55,0,0,0,0,0,0,0
6,4,Jurriën,Timber,2,1,90,0,5,0,0,1,0,0,0,0,1,0,0,0,20,0,55,0,0,2.7,0.5,5.6,0,0,0,0,13,1.1,7.0,2.2,0.05,0.01,0.06,0.74,0,0,0,0,0,0,0
6,5,Jurriën,Timber,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,55,0,0,2.7,0.5,5.6,0,0,0,0,12,0.0,0.0,1.2,0.0,0.0,0.0,1.68,0,0,0,0,0,0,0
6,6,Jurriën,Timber,2,1,90,0,4,0,1,0,2,0,0,0,0,0,0,0,25,0,55,0,0,2.7,0.5,5.6,0,0,0,0,45,82.8,11.0,13.9,0.21,0.12,0.33,0.32,0,0,0,0,0,0,0
6,7,Jurriën,Timber,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2.7,0.5,5.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,8,Jurriën,Timber,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2.7,0.5,5.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,9,Jurriën,Timber,2,1,75,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,55,0,0,2.7,0.5,5.6,0,0,0,0,14,11.6,2.0,2.8,0.0,0.02,0.02,0.54,0,0,0,0,0,0,0
6,10,Jurriën,Timber,2,1,70,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,55,0,0,2.7,0.5,5.6,0,0,0,0,3,14.0,7.0,2.4,0.04,0.11,0.15,0.48,0,0,0,0,0,0,0
6,11,Jurriën,Timber,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,55,0,0,2.7,0.5,5.6,0,0,0,0,12,1.5,1.0,1.5,0.04,0.01,0.05,1.28,0,0,0,0,0,0,0
6,12,Jurriën,Timber,2,1,87,0,6,0,0,1,0,0,0,0,0,0,0,0,25,0,55,0,0,2.7,0.5,5.6,0,0,0,0,4,22.8,10.0,3.7,0.05,0.05,0.1,0.27,0,0,0,0,0,0,0
6,13,Jurriën,Timber,2,1,90,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,55,0,0,2.7,0.5,5.6,0,0,0,0,10,1.8,44.0,5.6,0.1,0.01,0.11,1.54,0,0,0,0,0,0,0
7,1,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,2,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,3,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,4,Jorge Luiz,Frello Filho,3,1,90,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,1.8,0.0,0.2,0.0,0.0,0.0,0.74,0,0,0,0,0,0,0
7,5,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,6,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,7,Jorge Luiz,Frello Filho,3,1,60,0,2,0,0,0,1,0,0,0,0,0,0,0,17,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,4,19.5,1.0,2.5,0.04,0.14,0.18,0.32,0,0,0,0,0,0,0
7,8,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,9,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,10,Jorge Luiz,Frello Filho,3,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.3,0.0,0.0,0.0,0.01,0.01,0.04,0,0,0,0,0,0,0
7,11,Jorge Luiz,Frello Filho,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,12,Jorge Luiz,Frello Filho,3,1,45,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,0,13.4,0.0,1.3,0.0,0.09,0.09,0.12,0,0,0,0,0,0,0
7,13,Jorge Luiz,Frello Filho,3,1,90,0,2,0,0,0,2,0,0,0,0,0,0,0,15,0,47,0,-3,0.2,0.1,1.3,0,0,0,0,12,3.6,2.0,1.8,0.0,0.01,0.01,1.54,0,0,0,0,0,0,0
8,1,Jakub,Kiwior,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,2,Jakub,Kiwior,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,3,Jakub,Kiwior,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,4,Jakub,Kiwior,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,5,Jakub,Kiwior,2,1,16,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,5,0.0,0.0,0.5,0.0,0.0,0.0,0.99,0,0,0,0,0,0,0
8,6,Jakub,Kiwior,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,7,Jakub,Kiwior,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,48,0,-2,0.2,0.1,1.0,0,0,0,0,2,0.3,0.0,0.3,0.0,0.0,0.0,0.04,0,0,0,0,0,0,0
